jobID,  modelID,  status,  completionReason,  startTime,  endTime,  runtime(s),  expDesc,  numRecords,  modelParams|tmParams|minThreshold,  modelParams|sensorParams|encoders|timestamp_weekend:radius,  modelParams|sensorParams|encoders|value:n,  modelParams|tmParams|activationThreshold,  modelParams|sensorParams|encoders|timestamp_timeOfDay:radius,  modelParams|tmParams|pamLength,  modelParams|clParams|alpha,  modelParams|sensorParams|encoders|timestamp_dayOfWeek:radius,  modelParams|spParams|synPermInactiveDec,  multiStepBestPredictions:multiStep:errorMetric='aae':steps=[1]:window=1000:field=value,  multiStepBestPredictions:multiStep:errorMetric='altMAPE':steps=[1]:window=1000:field=value, 
1043,  3151,  completed,  eof,  2017-09-25 02:52:50,  2017-09-25 02:53:15,  25,  modelParams|tmParams|minThreshold_11.modelParams|sensorParams|encoders|value:n_272.modelParams|tmParams|activationThreshold_14.modelParams|tmParams|pamLength_3.modelParams|clParams|alpha_0.05005.modelParams|spParams|synPermInactiveDec_0.05015,  2500,  11,  None,  272,  14,  None,  3,  0.05005,  None,  0.05015,  103.724789618,  32.0302345085, 
1043,  3162,  completed,  eof,  2017-09-25 02:52:50,  2017-09-25 02:53:05,  15,  modelParams|tmParams|minThreshold_9.modelParams|sensorParams|encoders|value:n_22.modelParams|tmParams|activationThreshold_12.modelParams|tmParams|pamLength_1.modelParams|clParams|alpha_0.0001.modelParams|spParams|synPermInactiveDec_0.1,  2500,  9,  None,  22,  12,  None,  1,  0.0001,  None,  0.1,  136.119102247,  42.0336043304, 
1043,  3163,  completed,  eof,  2017-09-25 02:53:05,  2017-09-25 02:53:34,  29,  modelParams|tmParams|minThreshold_12.modelParams|sensorParams|encoders|value:n_521.modelParams|tmParams|activationThreshold_16.modelParams|tmParams|pamLength_5.modelParams|clParams|alpha_0.1.modelParams|spParams|synPermInactiveDec_0.0003,  2500,  12,  None,  521,  16,  None,  5,  0.1,  None,  0.0003,  103.797344899,  32.0526395929, 
1043,  3164,  completed,  eof,  2017-09-25 02:53:15,  2017-09-25 02:53:36,  21,  modelParams|tmParams|minThreshold_10.modelParams|sensorParams|encoders|value:n_147.modelParams|tmParams|activationThreshold_13.modelParams|tmParams|pamLength_2.modelParams|clParams|alpha_0.025075.modelParams|spParams|synPermInactiveDec_0.075075,  2500,  10,  None,  147,  13,  None,  2,  0.025075,  None,  0.075075,  102.617881333,  31.6884210222, 
1043,  3165,  completed,  eof,  2017-09-25 02:53:34,  2017-09-25 02:53:58,  24,  modelParams|tmParams|minThreshold_11.modelParams|sensorParams|encoders|value:n_396.modelParams|tmParams|activationThreshold_15.modelParams|tmParams|pamLength_4.modelParams|clParams|alpha_0.075025.modelParams|spParams|synPermInactiveDec_0.025225,  2500,  11,  None,  396,  15,  None,  4,  0.075025,  None,  0.025225,  107.435990956,  33.1762541785, 
1043,  3166,  completed,  eof,  2017-09-25 02:53:36,  2017-09-25 02:53:55,  19,  modelParams|tmParams|minThreshold_10.modelParams|sensorParams|encoders|value:n_185.modelParams|tmParams|activationThreshold_13.modelParams|tmParams|pamLength_2.modelParams|clParams|alpha_0.0347673257778.modelParams|spParams|synPermInactiveDec_0.0801133922224,  2500,  10,  None,  185,  13,  None,  2,  0.0347673257778,  None,  0.0801133922224,  104.181477315,  32.1712597551, 
1043,  3167,  completed,  eof,  2017-09-25 02:53:55,  2017-09-25 02:54:15,  20,  modelParams|tmParams|minThreshold_10.modelParams|sensorParams|encoders|value:n_158.modelParams|tmParams|activationThreshold_13.modelParams|tmParams|pamLength_2.modelParams|clParams|alpha_0.0153826742222.modelParams|spParams|synPermInactiveDec_0.0700366077776,  2500,  10,  None,  158,  13,  None,  2,  0.0153826742222,  None,  0.0700366077776,  96.9787397296,  29.9470530363, 
1043,  3168,  completed,  eof,  2017-09-25 02:53:58,  2017-09-25 02:54:19,  21,  modelParams|tmParams|minThreshold_10.modelParams|sensorParams|encoders|value:n_213.modelParams|tmParams|activationThreshold_13.modelParams|tmParams|pamLength_3.modelParams|clParams|alpha_0.0341719773334.modelParams|spParams|synPermInactiveDec_0.0802201766672,  2500,  10,  None,  213,  13,  None,  3,  0.0341719773334,  None,  0.0802201766672,  96.9576889213,  29.9405525427, 
1043,  3169,  completed,  eof,  2017-09-25 02:54:15,  2017-09-25 02:54:32,  17,  modelParams|tmParams|minThreshold_10.modelParams|sensorParams|encoders|value:n_132.modelParams|tmParams|activationThreshold_13.modelParams|tmParams|pamLength_2.modelParams|clParams|alpha_0.0122106176345.modelParams|spParams|synPermInactiveDec_0.0750108149608,  2500,  10,  None,  132,  13,  None,  2,  0.0122106176345,  None,  0.0750108149608,  103.460067816,  31.9484883664, 
1043,  3170,  completed,  eof,  2017-09-25 02:54:19,  2017-09-25 02:54:41,  22,  modelParams|tmParams|minThreshold_10.modelParams|sensorParams|encoders|value:n_209.modelParams|tmParams|activationThreshold_13.modelParams|tmParams|pamLength_3.modelParams|clParams|alpha_0.0368606592743.modelParams|spParams|synPermInactiveDec_0.0853229826733,  2500,  10,  None,  209,  13,  None,  3,  0.0368606592743,  None,  0.0853229826733,  109.2391308,  33.7330641007, 
1043,  3171,  completed,  eof,  2017-09-25 02:54:33,  2017-09-25 02:54:54,  21,  modelParams|tmParams|minThreshold_10.modelParams|sensorParams|encoders|value:n_208.modelParams|tmParams|activationThreshold_13.modelParams|tmParams|pamLength_3.modelParams|clParams|alpha_0.0341646267917.modelParams|spParams|synPermInactiveDec_0.0810634614835,  2500,  10,  None,  208,  13,  None,  3,  0.0341646267917,  None,  0.0810634614835,  105.262111091,  32.504959668, 
1043,  3172,  completed,  eof,  2017-09-25 02:54:41,  2017-09-25 02:55:02,  21,  modelParams|tmParams|minThreshold_10.modelParams|sensorParams|encoders|value:n_241.modelParams|tmParams|activationThreshold_14.modelParams|tmParams|pamLength_3.modelParams|clParams|alpha_0.0344587328619.modelParams|spParams|synPermInactiveDec_0.0727511429897,  2500,  10,  None,  241,  14,  None,  3,  0.0344587328619,  None,  0.0727511429897,  100.998089625,  31.1882290388, 
1043,  3173,  completed,  eof,  2017-09-25 02:54:54,  2017-09-25 02:55:13,  19,  modelParams|tmParams|minThreshold_10.modelParams|sensorParams|encoders|value:n_136.modelParams|tmParams|activationThreshold_12.modelParams|tmParams|pamLength_2.modelParams|clParams|alpha_0.0177149716668.modelParams|spParams|synPermInactiveDec_0.1,  2500,  10,  None,  136,  12,  None,  2,  0.0177149716668,  None,  0.1,  104.203189404,  32.177964452, 
1043,  3174,  completed,  eof,  2017-09-25 02:55:02,  2017-09-25 02:55:23,  21,  modelParams|tmParams|minThreshold_10.modelParams|sensorParams|encoders|value:n_203.modelParams|tmParams|activationThreshold_13.modelParams|tmParams|pamLength_3.modelParams|clParams|alpha_0.0299410176187.modelParams|spParams|synPermInactiveDec_0.080229529797,  2500,  10,  None,  203,  13,  None,  3,  0.0299410176187,  None,  0.080229529797,  98.246997924,  30.3386914048, 
