jobID,  modelID,  status,  completionReason,  startTime,  endTime,  runtime(s),  expDesc,  numRecords,  modelParams|tmParams|minThreshold,  modelParams|sensorParams|encoders|timestamp_weekend:radius,  modelParams|sensorParams|encoders|value:n,  modelParams|tmParams|activationThreshold,  modelParams|sensorParams|encoders|timestamp_timeOfDay:radius,  modelParams|tmParams|pamLength,  modelParams|clParams|alpha,  modelParams|sensorParams|encoders|timestamp_dayOfWeek:radius,  modelParams|sensorParams|encoders|_classifierInput|n,  modelParams|inferenceType,  modelParams|spParams|synPermInactiveDec,  multiStepBestPredictions:multiStep:errorMetric='aae':steps=[1]:window=1000:field=value,  multiStepBestPredictions:multiStep:errorMetric='altMAPE':steps=[1]:window=1000:field=value, 
1042,  3025,  completed,  eof,  2017-09-22 07:46:19,  2017-09-22 07:46:26,  7,  modelParams|tmParams|minThreshold_11.modelParams|tmParams|activationThreshold_14.modelParams|tmParams|pamLength_3.modelParams|clParams|alpha_0.05005.modelParams|sensorParams|encoders|timestamp_dayOfWeek:radius_3.5.modelParams|sensorParams|encoders|_classifierInput|n_275.modelParams|inferenceType_NontemporalMultiStep.modelParams|spParams|synPermInactiveDec_0.05015,  2500,  11,  None,  None,  14,  None,  3,  0.05005,  3.5,  275,  NontemporalMultiStep,  0.05015,  122.047010264,  37.6881396839, 
1042,  3036,  completed,  eof,  2017-09-22 07:46:19,  2017-09-22 07:46:26,  7,  modelParams|tmParams|minThreshold_11.modelParams|tmParams|activationThreshold_14.modelParams|sensorParams|encoders|timestamp_timeOfDay:radius_6.25.modelParams|tmParams|pamLength_3.modelParams|clParams|alpha_0.05005.modelParams|sensorParams|encoders|_classifierInput|n_275.modelParams|inferenceType_NontemporalMultiStep.modelParams|spParams|synPermInactiveDec_0.05015,  2500,  11,  None,  None,  14,  6.25,  3,  0.05005,  None,  275,  NontemporalMultiStep,  0.05015,  132.384334488,  40.8803073451, 
1042,  3037,  completed,  eof,  2017-09-22 07:46:26,  2017-09-22 07:46:31,  5,  modelParams|tmParams|minThreshold_11.modelParams|sensorParams|encoders|timestamp_weekend:radius_1.modelParams|tmParams|activationThreshold_14.modelParams|tmParams|pamLength_3.modelParams|clParams|alpha_0.05005.modelParams|sensorParams|encoders|_classifierInput|n_275.modelParams|inferenceType_NontemporalMultiStep.modelParams|spParams|synPermInactiveDec_0.05015,  2500,  11,  1,  None,  14,  None,  3,  0.05005,  None,  275,  NontemporalMultiStep,  0.05015,  146.399849083,  45.2083008836, 
1042,  3038,  completed,  eof,  2017-09-22 07:46:26,  2017-09-22 07:46:32,  6,  modelParams|tmParams|minThreshold_11.modelParams|sensorParams|encoders|value:n_272.modelParams|tmParams|activationThreshold_14.modelParams|tmParams|pamLength_3.modelParams|clParams|alpha_0.05005.modelParams|sensorParams|encoders|_classifierInput|n_275.modelParams|inferenceType_NontemporalMultiStep.modelParams|spParams|synPermInactiveDec_0.05015,  2500,  11,  None,  272,  14,  None,  3,  0.05005,  None,  275,  NontemporalMultiStep,  0.05015,  75.6351316036,  23.3561428397, 
1042,  3039,  completed,  eof,  2017-09-22 07:46:31,  2017-09-22 07:46:47,  16,  modelParams|tmParams|minThreshold_9.modelParams|tmParams|activationThreshold_12.modelParams|tmParams|pamLength_1.modelParams|clParams|alpha_0.0001.modelParams|sensorParams|encoders|timestamp_dayOfWeek:radius_1.0.modelParams|sensorParams|encoders|_classifierInput|n_28.modelParams|inferenceType_TemporalMultiStep.modelParams|spParams|synPermInactiveDec_0.1,  2500,  9,  None,  None,  12,  None,  1,  0.0001,  1.0,  28,  TemporalMultiStep,  0.1,  158.162077049,  48.8404790878, 
1042,  3040,  completed,  eof,  2017-09-22 07:46:32,  2017-09-22 07:46:48,  16,  modelParams|tmParams|minThreshold_9.modelParams|tmParams|activationThreshold_12.modelParams|sensorParams|encoders|timestamp_timeOfDay:radius_0.5.modelParams|tmParams|pamLength_1.modelParams|clParams|alpha_0.0001.modelParams|sensorParams|encoders|_classifierInput|n_28.modelParams|inferenceType_TemporalMultiStep.modelParams|spParams|synPermInactiveDec_0.1,  2500,  9,  None,  None,  12,  0.5,  1,  0.0001,  None,  28,  TemporalMultiStep,  0.1,  233.792378345,  72.1951303276, 
1042,  3041,  completed,  eof,  2017-09-22 07:46:47,  2017-09-22 07:46:57,  10,  modelParams|tmParams|minThreshold_9.modelParams|sensorParams|encoders|timestamp_weekend:radius_1.modelParams|tmParams|activationThreshold_12.modelParams|tmParams|pamLength_1.modelParams|clParams|alpha_0.0001.modelParams|sensorParams|encoders|_classifierInput|n_28.modelParams|inferenceType_TemporalMultiStep.modelParams|spParams|synPermInactiveDec_0.1,  2500,  9,  1,  None,  12,  None,  1,  0.0001,  None,  28,  TemporalMultiStep,  0.1,  203.244478376,  62.7619330817, 
1042,  3042,  completed,  eof,  2017-09-22 07:46:48,  2017-09-22 07:46:57,  9,  modelParams|tmParams|minThreshold_9.modelParams|sensorParams|encoders|value:n_22.modelParams|tmParams|activationThreshold_12.modelParams|tmParams|pamLength_1.modelParams|clParams|alpha_0.0001.modelParams|sensorParams|encoders|_classifierInput|n_28.modelParams|inferenceType_TemporalMultiStep.modelParams|spParams|synPermInactiveDec_0.1,  2500,  9,  None,  22,  12,  None,  1,  0.0001,  None,  28,  TemporalMultiStep,  0.1,  188.314266517,  58.1514808565, 
1042,  3043,  completed,  eof,  2017-09-22 07:46:57,  2017-09-22 07:47:03,  6,  modelParams|tmParams|minThreshold_12.modelParams|tmParams|activationThreshold_16.modelParams|tmParams|pamLength_5.modelParams|clParams|alpha_0.1.modelParams|sensorParams|encoders|timestamp_dayOfWeek:radius_6.0.modelParams|sensorParams|encoders|_classifierInput|n_521.modelParams|inferenceType_NontemporalMultiStep.modelParams|spParams|synPermInactiveDec_0.0003,  2500,  12,  None,  None,  16,  None,  5,  0.1,  6.0,  521,  NontemporalMultiStep,  0.0003,  124.774523926,  38.530396415, 
1042,  3044,  completed,  eof,  2017-09-22 07:46:57,  2017-09-22 07:47:03,  6,  modelParams|tmParams|minThreshold_12.modelParams|tmParams|activationThreshold_16.modelParams|sensorParams|encoders|timestamp_timeOfDay:radius_12.0.modelParams|tmParams|pamLength_5.modelParams|clParams|alpha_0.1.modelParams|sensorParams|encoders|_classifierInput|n_521.modelParams|inferenceType_NontemporalMultiStep.modelParams|spParams|synPermInactiveDec_0.0003,  2500,  12,  None,  None,  16,  12.0,  5,  0.1,  None,  521,  NontemporalMultiStep,  0.0003,  124.694341135,  38.5056359539, 
